OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
2049,30.4288,0.5396,2.21e+20,0.8,-999/-999,14945.1,2.04987e-14,5.25954e-15,1.77461e-14,6.45545e-15,-999,1.33897e-14,6.74769e-15,-999,2.04554e-14,1.03084e-14,-999,0.00152,0.00039,0.0007601,0.0002765,-999,0.00038,0.0001915,-999,0.00038,0.0001915,-999,280_30_0
2050,30.3101,0.460032,2.22e+20,0.8,-999/-999,15517.2,1.45703e-14,4.58694e-15,1.26171e-14,5.61461e-15,-999,1.14178e-14,6.61102e-15,-999,1.16275e-14,8.20384e-15,-999,0.00108,0.00034,0.00054,0.0002403,-999,0.000324,0.0001876,-999,0.000216,0.0001524,-999,280_30_0
2051,30.4434,0.531451,2.21e+20,0.8,-999/-999,14797.5,3.74911e-14,7.01272e-15,3.418e-15,2.82265e-15,-999,2.57787e-14,9.37278e-15,-999,1.02385e-13,2.31092e-14,-999,0.00278,0.00052,0.0001464,0.0001209,-999,0.0007316,0.000266,-999,0.001902,0.0004293,-999,280_30_0
2052,30.4364,0.626167,2.22e+20,0.8,-999/-999,15205,1.92921e-14,5.3964e-15,3.03745e-15,2.77343e-15,-999,3.20719e-14,1.12345e-14,-999,2.09995e-14,1.11e-14,-999,0.00143,0.0004,0.00013,0.0001187,-999,0.0009101,0.0003188,-999,0.0003901,0.0002062,-999,280_30_0
2053,30.2331,0.491659,2.23e+20,0.8,-999/-999,15599.4,3.0501e-14,6.47808e-15,1.98179e-14,6.88425e-15,-999,2.98693e-14,1.03758e-14,-999,3.04205e-14,1.30919e-14,-999,0.00226,0.00048,0.0008475,0.0002944,-999,0.0008475,0.0002944,-999,0.0005651,0.0002432,-999,280_30_0
2054,30.1971,0.520106,2.24e+20,0.8,-999/-999,16104.8,2.78121e-14,6.34547e-15,2.10852e-14,7.33185e-15,-999,1.81527e-14,8.39255e-15,-999,3.46577e-14,1.41688e-14,-999,0.00206,0.00047,0.000901,0.0003133,-999,0.000515,0.0002381,-999,0.0006438,0.0002632,-999,280_30_0
2055,30.3844,0.397476,2.21e+20,0.8,-999/-999,10246.4,1.57786e-14,6.33842e-15,6.82666e-15,5.57993e-15,-999,3.0909e-14,1.43164e-14,-999,1.96802e-14,-2.52732e-11,1.03892e-13,0.00117,0.00047,0.0002924,0.000239,-999,0.0008772,0.0004063,-999,0.0003656,-0.4695,0.00193,280_30_0
2056,30.1843,0.630395,2.25e+20,0.8,-999/-999,15863.8,1.29658e-14,4.7271e-15,5.6187e-15,-8.19032e-12,2.47326e-14,1.69214e-14,8.81325e-15,-999,2.58403e-14,1.34585e-14,-999,0.00096,0.00035,0.0002399,-0.3497,0.001056,0.00048,0.00025,-999,0.00048,0.00025,-999,280_30_0
2057,30.2362,0.695593,2.25e+20,0.8,-999/-999,15783.9,2.55263e-14,6.21276e-15,2.38426e-14,7.93035e-15,-999,3.07582e-14,1.10377e-14,-999,5.08731e-14,-2.47367e-11,5.1756e-14,0.00189,0.00046,0.001018,0.0003386,-999,0.0008725,0.0003131,-999,0.000945,-0.4595,0.0009614,280_30_0
2058,30.1481,0.638595,2.25e+20,0.8,-999/-999,11195.4,2.30953e-14,7.83348e-15,1.00125e-14,6.79209e-15,-999,3.01519e-14,1.44044e-14,-999,2.3014e-14,1.56119e-14,-999,0.00171,0.00058,0.0004275,0.00029,-999,0.0008553,0.0004086,-999,0.0004275,0.00029,-999,280_30_0
